code,name,listing_date,shares,listing_board
CAKK,Cahayaputra Asa Keramik Tbk.,2018-10-31T00:00:00,1203300219,Pengembangan
CAMP,Campina Ice Cream Industry Tbk,2017-12-19T00:00:00,5885000000,Utama
CANI,Capitol Nusantara Indonesia Tb,2014-01-16T00:00:00,833440000,Pengembangan
CARE,Metro Healthcare Indonesia Tbk,2020-03-13T00:00:00,33250000000,Pengembangan
CARS,Industri dan Perdagangan Bintr,2017-04-10T00:00:00,15000000000,Utama
CASA,Capital Financial Indonesia Tb,2016-07-19T00:00:00,54476260993,Pengembangan
CASH,Cashlez Worldwide Indonesia Tb,2020-05-04T00:00:00,1431125517,Akselerasi
CASS,Cardig Aero Services Tbk.,2011-12-05T00:00:00,2086950000,Pengembangan
CBMF,Cahaya Bintang Medan Tbk.,2020-04-09T00:00:00,1875000000,Pengembangan
CCSI,Communication Cable Systems In,2019-06-18T00:00:00,1000000000,Pengembangan
CEKA,Wilmar Cahaya Indonesia Tbk.,1996-07-09T00:00:00,595000000,Utama
CENT,Centratama Telekomunikasi Indo,2001-11-01T00:00:00,31183464900,Pengembangan
CFIN,Clipan Finance Indonesia Tbk.,1990-08-27T00:00:00,3984520457,Utama
CINT,Chitose Internasional Tbk.,2014-06-27T00:00:00,1000000000,Pengembangan
CITA,Cita Mineral Investindo Tbk.,2002-03-20T00:00:00,3960361250,Pengembangan
CITY,Natura City Developments Tbk.,2018-09-28T00:00:00,5404710955,Utama
CLAY,Citra Putra Realty Tbk.,2019-01-18T00:00:00,2570000000,Pengembangan
CLEO,Sariguna Primatirta Tbk.,2017-05-05T00:00:00,12000000000,Utama
CLPI,Colorpak Indonesia Tbk.,2001-11-30T00:00:00,306338500,Pengembangan
CMNP,Citra Marga Nusaphala Persada ,1995-01-10T00:00:00,5431399451,Utama
CMPP,AirAsia Indonesia Tbk.,1994-12-08T00:00:00,10685124441,Pengembangan
CNKO,Exploitasi Energi Indonesia Tb,2001-11-21T00:00:00,8956361206,Utama
CNTX,Century Textile Industry Tbk.,1979-05-22T00:00:00,70000000,Pengembangan
COCO,Wahana Interfood Nusantara Tbk,2019-03-20T00:00:00,560285571,Pengembangan
COWL,Cowell Development Tbk.,2007-12-19T00:00:00,4871214021,Pengembangan
CPIN,Charoen Pokphand Indonesia Tbk,1991-03-18T00:00:00,16398000000,Utama
CPRI,Capri Nusa Satu Properti Tbk.,2019-04-11T00:00:00,2433375005,Pengembangan
CPRO,Central Proteina Prima Tbk.,2006-11-28T00:00:00,59572382787,Utama
CSAP,Catur Sentosa Adiprana Tbk.,2007-12-12T00:00:00,4458352920,Utama
CSIS,Cahayasakti Investindo Sukses ,2017-05-10T00:00:00,1307000000,Pengembangan
CSMI,Cipta Selera Murni Tbk.,2020-04-09T00:00:00,816061500,Pengembangan
CSRA,Cisadane Sawit Raya Tbk.,2020-01-09T00:00:00,2050000000,Pengembangan
CTBN,Citra Tubindo Tbk.,1989-11-28T00:00:00,800371500,Utama
CTRA,Ciputra Development Tbk.,1994-03-28T00:00:00,18560303397,Utama
CTTH,Citatah Tbk.,1996-07-03T00:00:00,1230839821,Pengembangan
DADA,Diamond Citra Propertindo Tbk.,2020-02-14T00:00:00,7177000382,Pengembangan
DART,Duta Anggada Realty Tbk.,1990-05-08T00:00:00,3141390962,Utama
DAYA,Duta Intidaya Tbk.,2016-06-28T00:00:00,2420547025,Pengembangan
DCII,DCI Indonesia Tbk.,2021-01-06T00:00:00,2383745900,Pengembangan
DEAL,Dewata Freightinternational Tb,2018-11-09T00:00:00,1132748259,Pengembangan
DEFI,Danasupra Erapacific Tbk.,2001-07-06T00:00:00,687266666,Pengembangan
DEWA,Darma Henwa Tbk,2007-09-26T00:00:00,21853733792,Utama
DFAM,Dafam Property Indonesia Tbk.,2018-04-27T00:00:00,1899852850,Pengembangan
DGIK,Nusa Konstruksi Enjiniring Tbk,2007-12-19T00:00:00,5541165000,Utama
DGNS,Diagnos Laboratorium Utama Tbk,2021-01-15T00:00:00,1250000000,Pengembangan
DIGI,Arkadia Digital Media Tbk.,2018-09-18T00:00:00,1625000000,Pengembangan
DILD,Intiland Development Tbk.,1991-09-04T00:00:00,10365854185,Utama
DIVA,Distribusi Voucher Nusantara T,2018-11-27T00:00:00,714285700,Pengembangan
DKFT,Central Omega Resources Tbk.,1997-11-21T00:00:00,5638246600,Pengembangan
DLTA,Delta Djakarta Tbk.,1984-02-27T00:00:00,800659050,Utama
DMAS,Puradelta Lestari Tbk.,2015-05-29T00:00:00,48198111100,Utama
DMMX,Digital Mediatama Maxima Tbk.,2019-10-21T00:00:00,7692307700,Pengembangan
DMND,Diamond Food Indonesia Tbk.,2020-01-22T00:00:00,9468359000,Utama
DNAR,Bank Oke Indonesia Tbk.,2014-07-11T00:00:00,11447006258,Utama
DNET,Indoritel Makmur Internasional,2000-12-11T00:00:00,14184000000,Pengembangan
DOID,Delta Dunia Makmur Tbk.,2001-06-15T00:00:00,8621173232,Utama
DPNS,Duta Pertiwi Nusantara Tbk.,1990-08-08T00:00:00,331129952,Utama
DPUM,Dua Putra Utama Makmur Tbk.,2015-12-08T00:00:00,4175000000,Utama
DSFI,Dharma Samudera Fishing Indust,2000-03-24T00:00:00,1857135500,Utama
DSNG,Dharma Satya Nusantara Tbk.,2013-06-14T00:00:00,10599842400,Utama
DSSA,Dian Swastatika Sentosa Tbk,2009-12-10T00:00:00,770552320,Utama
DUCK,Jaya Bersama Indo Tbk.,2018-10-10T00:00:00,1283330000,UTAMA
DUTI,Duta Pertiwi Tbk,1994-11-02T00:00:00,1850000000,Pengembangan
DVLA,Darya-Varia Laboratoria Tbk.,1994-11-11T00:00:00,1120000000,Utama
DWGL,Dwi Guna Laksana Tbk.,2017-12-13T00:00:00,8711600156,Pengembangan
DYAN,Dyandra Media International Tb,2013-03-25T00:00:00,4272964279,Utama
EAST,Eastparc Hotel Tbk.,2019-07-09T00:00:00,4126366095,Pengembangan
ECII,Electronic City Indonesia Tbk.,2013-07-03T00:00:00,1334333000,Pengembangan
EDGE,Indointernet Tbk.,2021-02-08T00:00:00,404050000,Pengembangan
EKAD,Ekadharma International Tbk.,1990-08-14T00:00:00,698775000,Utama
ELSA,Elnusa Tbk.,2008-02-06T00:00:00,7298500000,Utama
ELTY,Bakrieland Development Tbk.,1995-10-30T00:00:00,43521913019,Utama
EMDE,Megapolitan Developments Tbk.,2011-01-12T00:00:00,3350000000,Pengembangan
EMTK,Elang Mahkota Teknologi Tbk.,2010-01-12T00:00:00,61197518483,Utama
ENRG,Energi Mega Persada Tbk.,2004-06-07T00:00:00,10342179272,Pengembangan
ENVY,Envy Technologies Indonesia Tb,2019-07-08T00:00:00,1800000000,Pengembangan
ENZO,Morenzo Abadi Perkasa Tbk.,2020-09-14T00:00:00,2162545002,Pengembangan
EPAC,Megalestari Epack Sentosaraya ,2020-07-01T00:00:00,3303400000,Pengembangan
EPMT,Enseval Putera Megatrading Tbk,1994-08-01T00:00:00,2708640000,Pengembangan
ERAA,Erajaya Swasembada Tbk.,2011-12-14T00:00:00,15950000000,Utama
ERTX,Eratex Djaja Tbk.,1990-08-21T00:00:00,1286539792,Pengembangan
ESIP,Sinergi Inti Plastindo Tbk.,2019-11-14T00:00:00,640001405,Pengembangan
ESSA,Surya Esa Perkasa Tbk.,2012-02-01T00:00:00,15660887000,Utama
ESTA,Esta Multi Usaha Tbk.,2020-03-09T00:00:00,630000000,Pengembangan
ESTI,Ever Shine Tex Tbk.,1992-10-13T00:00:00,2015208720,Utama
ETWA,Eterindo Wahanatama Tbk,1997-05-16T00:00:00,968297000,Utama
EXCL,XL Axiata Tbk.,2005-09-29T00:00:00,10724674776,Utama
FAPA,FAP Agri Tbk.,2021-01-04T00:00:00,3629411800,Pengembangan
FAST,Fast Food Indonesia Tbk.,1993-05-11T00:00:00,3990277158,Pengembangan
FASW,Fajar Surya Wisesa Tbk.,1994-12-19T00:00:00,2477888787,Utama
FILM,MD Pictures Tbk.,2018-08-07T00:00:00,9511217000,Utama
FIMP,Fimperkasa Utama Tbk.,2021-04-09T00:00:00,400000000,Akselerasi
FIRE,Alfa Energi Investama Tbk.,2017-06-09T00:00:00,1475363179,Pengembangan
FISH,FKS Multi Agro Tbk.,2002-01-18T00:00:00,480000000,Pengembangan
FITT,Hotel Fitra International Tbk.,2019-06-11T00:00:00,600000105,Pengembangan
FMII,Fortune Mate Indonesia Tbk,2000-06-30T00:00:00,2721000000,Pengembangan
FOOD,Sentra Food Indonesia Tbk.,2019-01-08T00:00:00,650000000,Pengembangan
FORU,Fortune Indonesia Tbk,2002-01-17T00:00:00,465224000,Pengembangan
FORZ,Forza Land Indonesia Tbk.,2017-04-28T00:00:00,1984009887,Utama
FPNI,Lotte Chemical Titan Tbk.,2002-03-21T00:00:00,5566414000,Pengembangan
FREN,Smartfren Telecom Tbk.,2006-11-29T00:00:00,308075363219,Utama
FUJI,Fuji Finance Indonesia Tbk.,2019-07-09T00:00:00,1105000000,Pengembangan
GAMA,Aksara Global Development Tbk.,2012-07-11T00:00:00,10011027656,Utama
GDST,Gunawan Dianjaya Steel Tbk.,2009-12-23T00:00:00,9242500000,Pengembangan
GDYR,Goodyear Indonesia Tbk.,1980-12-22T00:00:00,410000000,Utama
GEMA,Gema Grahasarana Tbk.,2002-08-12T00:00:00,1600000000,Pengembangan
GEMS,Golden Energy Mines Tbk.,2011-11-17T00:00:00,5882353000,Utama
GGRM,Gudang Garam Tbk.,1990-08-27T00:00:00,1924088000,Utama
GGRP,Gunung Raja Paksi Tbk.,2019-09-19T00:00:00,12111376157,Pengembangan
GHON,Gihon Telekomunikasi Indonesia,2018-04-09T00:00:00,550000000,Utama
GIAA,Garuda Indonesia (Persero) Tbk,2011-02-11T00:00:00,25886576254,Utama
GJTL,Gajah Tunggal Tbk.,1990-05-08T00:00:00,3484800000,Utama
GLOB,Global Teleshop Tbk.,2012-07-10T00:00:00,1111112000,Pengembangan
GLVA,Galva Technologies Tbk.,2019-12-23T00:00:00,1500000000,Pengembangan
GMFI,Garuda Maintenance Facility Ae,2017-10-10T00:00:00,28233511500,Utama
GMTD,Gowa Makassar Tourism Developm,2000-12-11T00:00:00,101538000,Pengembangan
GOLD,Visi Telekomunikasi Infrastruk,2010-07-07T00:00:00,1277276000,Pengembangan
GOLL,Golden Plantation Tbk.,2014-12-23T00:00:00,3665000759,Pengembangan
GOOD,Garudafood Putra Putri Jaya Tb,2018-10-10T00:00:00,7379580291,Utama
GPRA,Perdana Gapuraprima Tbk.,2007-10-10T00:00:00,4276655336,Utama
GSMF,Equity Development Investment ,1989-10-23T00:00:00,7454723337,Pengembangan
GTBO,Garda Tujuh Buana Tbk,2009-07-09T00:00:00,2500000000,Pengembangan
GWSA,Greenwood Sejahtera Tbk.,2011-12-23T00:00:00,7800760000,Utama
GZCO,Gozco Plantations Tbk.,2008-05-15T00:00:00,6000000000,Utama
HADE,Himalaya Energi Perkasa Tbk.,2004-04-12T00:00:00,2120000000,Pengembangan
HDFA,Radana Bhaskara Finance Tbk.,2011-05-10T00:00:00,6096972783,Utama
HDIT,Hensel Davest Indonesia Tbk.,2019-07-12T00:00:00,1524680000,Utama
HDTX,Panasia Indo Resources Tbk.,1990-06-06T00:00:00,3601462800,Utama
HEAL,Medikaloka Hermina Tbk.,2018-05-16T00:00:00,2978000000,Utama
HELI,Jaya Trishindo Tbk.,2018-03-27T00:00:00,832862387,Pengembangan
HERO,Hero Supermarket Tbk.,1989-08-21T00:00:00,4183634000,Utama
HEXA,Hexindo Adiperkasa Tbk.,1995-02-13T00:00:00,840000000,Utama
HITS,Humpuss Intermoda Transportasi,1997-12-15T00:00:00,7101084801,Utama
HKMU,HK Metals Utama Tbk.,2018-10-09T00:00:00,3221750000,Utama
HMSP,H.M. Sampoerna Tbk.,1990-08-15T00:00:00,116318076900,Utama
HOKI,Buyung Poetra Sembada Tbk.,2017-06-22T00:00:00,9677752680,Utama
HOME,Hotel Mandarine Regency Tbk.,2008-07-17T00:00:00,22212194782,Pengembangan
HOMI,Grand House Mulia Tbk.,2020-09-10T00:00:00,787500000,Pengembangan
HOPE,Harapan Duta Pertiwi Tbk.,2021-05-24T00:00:00,2129167000,Pengembangan
HOTL,Saraswati Griya Lestari Tbk.,2013-01-10T00:00:00,3550001452,Utama
HRME,Menteng Heritage Realty Tbk.,2019-04-12T00:00:00,5958750000,Pengembangan
HRTA,Hartadinata Abadi Tbk.,2017-06-21T00:00:00,4605262400,Utama
HRUM,Harum Energy Tbk.,2010-10-06T00:00:00,2703620000,Utama
IATA,Indonesia Transport & Infrastr,2006-09-13T00:00:00,10697665114,Pengembangan
IBFN,Intan Baruprana Finance Tbk.,2014-12-22T00:00:00,1517321249,Pengembangan
IBST,Inti Bangun Sejahtera Tbk.,2012-08-31T00:00:00,1350904927,Utama
ICBP,Indofood CBP Sukses Makmur Tbk,2010-10-07T00:00:00,11661908000,Utama
ICON,Island Concepts Indonesia Tbk.,2005-07-08T00:00:00,1089750000,Pengembangan
IDPR,Indonesia Pondasi Raya Tbk.,2015-12-10T00:00:00,2003000000,Utama
IFII,Indonesia Fibreboard Industry ,2019-12-10T00:00:00,9412000000,Utama
IFSH,Ifishdeco Tbk.,2019-12-05T00:00:00,2125000000,Pengembangan
IGAR,Champion Pacific Indonesia Tbk,1990-11-05T00:00:00,972204500,Utama
IIKP,Inti Agri Resources Tbk,2002-10-14T00:00:00,33600000000,Pengembangan
IKAI,Intikeramik Alamasri Industri ,1997-06-04T00:00:00,13305799387,Utama
IKAN,Era Mandiri Cemerlang Tbk.,2020-02-12T00:00:00,833333000,Pengembangan
IKBI,Sumi Indo Kabel Tbk.,1991-01-21T00:00:00,1224000000,Pengembangan
IMAS,Indomobil Sukses Internasional,1993-11-15T00:00:00,3994291039,Utama
IMJS,Indomobil Multi Jasa Tbk.,2013-12-10T00:00:00,8654325000,Utama
IMPC,Impack Pratama Industri Tbk.,2014-12-17T00:00:00,4833500000,Pengembangan
INAF,Indofarma Tbk.,2001-04-17T00:00:00,3099267500,Utama
INAI,Indal Aluminium Industry Tbk.,1994-12-05T00:00:00,633600000,Pengembangan
INCF,Indo Komoditi Korpora Tbk.,1989-12-18T00:00:00,1438370465,Pengembangan
INCI,Intanwijaya Internasional Tbk,1990-07-24T00:00:00,196121237,Utama
INCO,Vale Indonesia Tbk.,1990-05-16T00:00:00,9936338720,Utama
